
# ===== 2026-09-20 13:12:11 KST  L3 attempt 2  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'mlp', 'param': 'vp', 'domain': 'angle', 'base': 'L2', 'width': 256, 'depth': 4, 'emb': 128, 'lr': 0.001, 'ema': 0.9995, 'batch': 256}  params=658240  base-selection {'gate_scores': {'L1': 4.6252948083069985, 'L2': 4.51099737885951}, 'base': 'L2', 'note': 'chosen BY GATE SCORE (04_SPEC §4), never by BLER'}
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch    1 | train 9.460389e-01 | val 9.896626e-01 |   0.379 s | best 9.896626e-01 @1 *
epoch    2 | train 8.391022e-01 | val 9.875681e-01 |   0.252 s | best 9.875681e-01 @2 *
epoch    3 | train 8.219523e-01 | val 9.851819e-01 |   0.274 s | best 9.851819e-01 @3 *
epoch    4 | train 8.143918e-01 | val 9.826583e-01 |   0.279 s | best 9.826583e-01 @4 *
epoch    5 | train 8.105003e-01 | val 9.800633e-01 |   0.278 s | best 9.800633e-01 @5 *
epoch    6 | train 8.139821e-01 | val 9.774129e-01 |   0.279 s | best 9.774129e-01 @6 *
epoch    7 | train 8.067498e-01 | val 9.747144e-01 |   0.281 s | best 9.747144e-01 @7 *
epoch    8 | train 8.096703e-01 | val 9.719783e-01 |   0.279 s | best 9.719783e-01 @8 *
epoch    9 | train 8.056074e-01 | val 9.692054e-01 |   0.278 s | best 9.692054e-01 @9 *
epoch   10 | train 8.031141e-01 | val 9.663865e-01 |   0.281 s | best 9.663865e-01 @10 *
epoch   11 | train 7.984180e-01 | val 9.635201e-01 |   0.274 s | best 9.635201e-01 @11 *
epoch   12 | train 7.995156e-01 | val 9.606205e-01 |   0.278 s | best 9.606205e-01 @12 *
epoch   13 | train 8.009124e-01 | val 9.576830e-01 |   0.278 s | best 9.576830e-01 @13 *
epoch   14 | train 8.001242e-01 | val 9.547334e-01 |   0.279 s | best 9.547334e-01 @14 *
epoch   15 | train 7.981174e-01 | val 9.517713e-01 |   0.277 s | best 9.517713e-01 @15 *
epoch   16 | train 7.974113e-01 | val 9.487903e-01 |   0.274 s | best 9.487903e-01 @16 *
epoch   17 | train 7.998688e-01 | val 9.458003e-01 |   0.277 s | best 9.458003e-01 @17 *
epoch   18 | train 8.001281e-01 | val 9.427900e-01 |   0.279 s | best 9.427900e-01 @18 *
epoch   19 | train 7.998415e-01 | val 9.397756e-01 |   0.278 s | best 9.397756e-01 @19 *
epoch   20 | train 7.988073e-01 | val 9.367644e-01 |   0.280 s | best 9.367644e-01 @20 *
epoch   21 | train 7.983159e-01 | val 9.337513e-01 |   0.276 s | best 9.337513e-01 @21 *
epoch   22 | train 7.958581e-01 | val 9.307345e-01 |   0.280 s | best 9.307345e-01 @22 *
epoch   23 | train 8.007532e-01 | val 9.277324e-01 |   0.276 s | best 9.277324e-01 @23 *
epoch   24 | train 7.962690e-01 | val 9.247518e-01 |   0.273 s | best 9.247518e-01 @24 *
epoch   25 | train 7.952480e-01 | val 9.217762e-01 |   0.275 s | best 9.217762e-01 @25 *
epoch   26 | train 7.960824e-01 | val 9.188192e-01 |   0.282 s | best 9.188192e-01 @26 *
epoch   27 | train 7.923311e-01 | val 9.158795e-01 |   0.268 s | best 9.158795e-01 @27 *
epoch   28 | train 7.890674e-01 | val 9.129519e-01 |   0.264 s | best 9.129519e-01 @28 *
epoch   29 | train 7.947757e-01 | val 9.100447e-01 |   0.264 s | best 9.100447e-01 @29 *
epoch   30 | train 7.961041e-01 | val 9.071621e-01 |   0.270 s | best 9.071621e-01 @30 *
epoch   31 | train 7.863434e-01 | val 9.043012e-01 |   0.274 s | best 9.043012e-01 @31 *
epoch   32 | train 7.942488e-01 | val 9.014793e-01 |   0.275 s | best 9.014793e-01 @32 *
epoch   33 | train 7.913767e-01 | val 8.986708e-01 |   0.280 s | best 8.986708e-01 @33 *
epoch   34 | train 7.883310e-01 | val 8.958972e-01 |   0.278 s | best 8.958972e-01 @34 *
epoch   35 | train 7.917311e-01 | val 8.931618e-01 |   0.275 s | best 8.931618e-01 @35 *
epoch   36 | train 7.892256e-01 | val 8.904415e-01 |   0.280 s | best 8.904415e-01 @36 *
