
# ===== 2026-09-20 14:58:31 KST  L9 attempt 2  testbed D1 prior S  Nr=8 Nt=4
# DEVICE      : cuda | cuda_available=True | NVIDIA RTX PRO 6000 Blackwell Server Edition | torch 2.14.0+cu130 | train dtype float32 (01_RULES §9.5)
# data        : n_train=9000 n_val=1000 split_hash=98d6225d67f9c15a E||H||_F^2/(NrNt)=1.000268 (04_SPEC §2)
# sigma grid  : MEASURED, 20 points, log-uniform draw over [3.2936e-02, 7.9084e-01]
# hp          : {'arch': 'uvit', 'param': 'vp', 'domain': 'pixel', 'width': 128, 'depth': 5, 'emb': 128, 'lr': 0.001, 'ema': 0.9995, 'batch': 256, 'patch': 1, 'heads': 4}  params=1095336
# stopping    : patience 20 on val loss, never before 200 epochs, max 3000 (01_RULES §5)
epoch    1 | train 9.543871e-01 | val 9.905977e-01 |   1.732 s | best 9.905977e-01 @1 *
epoch    2 | train 8.884446e-01 | val 9.901877e-01 |   1.038 s | best 9.901877e-01 @2 *
epoch    3 | train 8.141754e-01 | val 9.893435e-01 |   1.063 s | best 9.893435e-01 @3 *
epoch    4 | train 7.961578e-01 | val 9.879603e-01 |   1.060 s | best 9.879603e-01 @4 *
epoch    5 | train 7.988333e-01 | val 9.860294e-01 |   1.041 s | best 9.860294e-01 @5 *
epoch    6 | train 7.980615e-01 | val 9.835989e-01 |   1.041 s | best 9.835989e-01 @6 *
epoch    7 | train 7.921116e-01 | val 9.807339e-01 |   1.039 s | best 9.807339e-01 @7 *
epoch    8 | train 7.952383e-01 | val 9.775593e-01 |   1.042 s | best 9.775593e-01 @8 *
epoch    9 | train 7.924955e-01 | val 9.742002e-01 |   1.038 s | best 9.742002e-01 @9 *
epoch   10 | train 7.917020e-01 | val 9.707335e-01 |   1.035 s | best 9.707335e-01 @10 *
epoch   11 | train 7.923015e-01 | val 9.672307e-01 |   1.045 s | best 9.672307e-01 @11 *
epoch   12 | train 7.918190e-01 | val 9.637151e-01 |   1.037 s | best 9.637151e-01 @12 *
epoch   13 | train 7.902293e-01 | val 9.601830e-01 |   1.036 s | best 9.601830e-01 @13 *
epoch   14 | train 7.894323e-01 | val 9.566592e-01 |   1.038 s | best 9.566592e-01 @14 *
epoch   15 | train 7.891791e-01 | val 9.531490e-01 |   1.045 s | best 9.531490e-01 @15 *
epoch   16 | train 7.933145e-01 | val 9.496298e-01 |   1.033 s | best 9.496298e-01 @16 *
epoch   17 | train 7.941687e-01 | val 9.460999e-01 |   1.036 s | best 9.460999e-01 @17 *
epoch   18 | train 7.903163e-01 | val 9.424924e-01 |   1.043 s | best 9.424924e-01 @18 *
epoch   19 | train 7.897726e-01 | val 9.388502e-01 |   1.037 s | best 9.388502e-01 @19 *
epoch   20 | train 7.913102e-01 | val 9.351598e-01 |   1.034 s | best 9.351598e-01 @20 *
epoch   21 | train 7.891354e-01 | val 9.313781e-01 |   1.035 s | best 9.313781e-01 @21 *
epoch   22 | train 7.933792e-01 | val 9.275121e-01 |   1.044 s | best 9.275121e-01 @22 *
epoch   23 | train 7.942194e-01 | val 9.234759e-01 |   1.032 s | best 9.234759e-01 @23 *
epoch   24 | train 7.880515e-01 | val 9.194267e-01 |   1.034 s | best 9.194267e-01 @24 *
epoch   25 | train 7.940769e-01 | val 9.152603e-01 |   1.037 s | best 9.152603e-01 @25 *
epoch   26 | train 7.875207e-01 | val 9.110620e-01 |   1.043 s | best 9.110620e-01 @26 *
epoch   27 | train 7.902701e-01 | val 9.068472e-01 |   1.035 s | best 9.068472e-01 @27 *
epoch   28 | train 7.905646e-01 | val 9.025576e-01 |   1.033 s | best 9.025576e-01 @28 *
epoch   29 | train 7.931817e-01 | val 8.983254e-01 |   1.049 s | best 8.983254e-01 @29 *
epoch   30 | train 7.964252e-01 | val 8.941262e-01 |   1.039 s | best 8.941262e-01 @30 *
epoch   31 | train 7.916857e-01 | val 8.900824e-01 |   1.036 s | best 8.900824e-01 @31 *
epoch   32 | train 7.886749e-01 | val 8.860530e-01 |   1.036 s | best 8.860530e-01 @32 *
epoch   33 | train 7.860159e-01 | val 8.820995e-01 |   1.042 s | best 8.820995e-01 @33 *
epoch   34 | train 7.949868e-01 | val 8.783140e-01 |   1.034 s | best 8.783140e-01 @34 *
epoch   35 | train 7.938489e-01 | val 8.746237e-01 |   1.033 s | best 8.746237e-01 @35 *
epoch   36 | train 7.933765e-01 | val 8.710515e-01 |   1.040 s | best 8.710515e-01 @36 *
epoch   37 | train 7.870954e-01 | val 8.676237e-01 |   1.041 s | best 8.676237e-01 @37 *
epoch   38 | train 7.925331e-01 | val 8.642709e-01 |   1.034 s | best 8.642709e-01 @38 *
epoch   39 | train 7.928077e-01 | val 8.610697e-01 |   1.035 s | best 8.610697e-01 @39 *
epoch   40 | train 7.911967e-01 | val 8.579897e-01 |   1.045 s | best 8.579897e-01 @40 *
epoch   41 | train 7.960702e-01 | val 8.550462e-01 |   1.034 s | best 8.550462e-01 @41 *
epoch   42 | train 7.921909e-01 | val 8.522206e-01 |   1.033 s | best 8.522206e-01 @42 *
epoch   43 | train 7.963872e-01 | val 8.495448e-01 |   1.040 s | best 8.495448e-01 @43 *
epoch   44 | train 7.919690e-01 | val 8.469551e-01 |   1.055 s | best 8.469551e-01 @44 *
epoch   45 | train 7.892215e-01 | val 8.444867e-01 |   1.035 s | best 8.444867e-01 @45 *
epoch   46 | train 7.891254e-01 | val 8.420950e-01 |   1.031 s | best 8.420950e-01 @46 *
epoch   47 | train 7.893088e-01 | val 8.398237e-01 |   1.052 s | best 8.398237e-01 @47 *
epoch   48 | train 7.894494e-01 | val 8.376137e-01 |   1.032 s | best 8.376137e-01 @48 *
epoch   49 | train 7.913995e-01 | val 8.355296e-01 |   1.034 s | best 8.355296e-01 @49 *
epoch   50 | train 7.917111e-01 | val 8.334665e-01 |   1.035 s | best 8.334665e-01 @50 *
epoch   51 | train 7.865541e-01 | val 8.314783e-01 |   1.049 s | best 8.314783e-01 @51 *
epoch   52 | train 7.898902e-01 | val 8.296194e-01 |   1.033 s | best 8.296194e-01 @52 *
epoch   53 | train 7.947750e-01 | val 8.278162e-01 |   1.032 s | best 8.278162e-01 @53 *
epoch   54 | train 7.945435e-01 | val 8.260996e-01 |   1.032 s | best 8.260996e-01 @54 *
epoch   55 | train 7.875419e-01 | val 8.244056e-01 |   1.047 s | best 8.244056e-01 @55 *
epoch   56 | train 7.878036e-01 | val 8.228089e-01 |   1.033 s | best 8.228089e-01 @56 *
epoch   57 | train 7.914894e-01 | val 8.212445e-01 |   1.033 s | best 8.212445e-01 @57 *
epoch   58 | train 7.882595e-01 | val 8.197248e-01 |   1.036 s | best 8.197248e-01 @58 *
epoch   59 | train 7.905852e-01 | val 8.182639e-01 |   1.042 s | best 8.182639e-01 @59 *
epoch   60 | train 7.901499e-01 | val 8.168377e-01 |   1.036 s | best 8.168377e-01 @60 *
epoch   61 | train 7.923945e-01 | val 8.154896e-01 |   1.033 s | best 8.154896e-01 @61 *
epoch   62 | train 7.920813e-01 | val 8.142002e-01 |   1.042 s | best 8.142002e-01 @62 *
epoch   63 | train 7.861198e-01 | val 8.129235e-01 |   1.027 s | best 8.129235e-01 @63 *
epoch   64 | train 7.859189e-01 | val 8.116923e-01 |   1.031 s | best 8.116923e-01 @64 *
epoch   65 | train 7.916462e-01 | val 8.105156e-01 |   1.032 s | best 8.105156e-01 @65 *
epoch   66 | train 7.921662e-01 | val 8.093498e-01 |   1.044 s | best 8.093498e-01 @66 *
epoch   67 | train 7.899950e-01 | val 8.082210e-01 |   1.029 s | best 8.082210e-01 @67 *
epoch   68 | train 7.916993e-01 | val 8.071369e-01 |   1.029 s | best 8.071369e-01 @68 *
epoch   69 | train 7.892972e-01 | val 8.060811e-01 |   1.033 s | best 8.060811e-01 @69 *
epoch   70 | train 7.903224e-01 | val 8.050663e-01 |   1.038 s | best 8.050663e-01 @70 *
epoch   71 | train 7.885682e-01 | val 8.040843e-01 |   1.032 s | best 8.040843e-01 @71 *
epoch   72 | train 7.930295e-01 | val 8.031654e-01 |   1.030 s | best 8.031654e-01 @72 *
epoch   73 | train 7.887912e-01 | val 8.022647e-01 |   1.039 s | best 8.022647e-01 @73 *
epoch   74 | train 7.946072e-01 | val 8.013851e-01 |   1.038 s | best 8.013851e-01 @74 *
epoch   75 | train 7.899890e-01 | val 8.005536e-01 |   1.069 s | best 8.005536e-01 @75 *
epoch   76 | train 7.884417e-01 | val 7.997209e-01 |   1.062 s | best 7.997209e-01 @76 *
epoch   77 | train 7.891100e-01 | val 7.989331e-01 |   1.070 s | best 7.989331e-01 @77 *
epoch   78 | train 7.923847e-01 | val 7.981697e-01 |   1.064 s | best 7.981697e-01 @78 *
epoch   79 | train 7.899875e-01 | val 7.974551e-01 |   1.065 s | best 7.974551e-01 @79 *
epoch   80 | train 7.878121e-01 | val 7.967404e-01 |   1.065 s | best 7.967404e-01 @80 *
